reflectivity (%),thermal conductivity (W/mK),specific heat capacity (J/gK),density(g/cm3),melting point (C),laser power (watt),scan speed (mm/s),layer thickness (mm),hatch spacing (mm),energy density (J/mm3),relative density (%)
66.15,13.66,0.46,7.91,1461.8,365,1010,0.05,0.118,61.25,1
66.15,13.66,0.46,7.91,1461.8,302,980,0.05,0.103,59.84,1
66.15,13.66,0.46,7.91,1461.8,367,740,0.05,0.156,63.58,1
66.15,13.66,0.46,7.91,1461.8,399,840,0.05,0.102,93.14,1
66.15,13.66,0.46,7.91,1461.8,282,780,0.05,0.122,59.27,1
66.15,13.66,0.46,7.91,1461.8,289,540,0.05,0.151,70.89,1
66.15,13.66,0.46,7.91,1461.8,397,920,0.05,0.14,61.65,1
66.15,13.66,0.46,7.91,1461.8,349,1070,0.05,0.087,74.98,1
66.15,13.66,0.46,7.91,1461.8,373,530,0.05,0.183,76.92,1
66.15,13.66,0.46,7.91,1461.8,244,790,0.05,0.098,63.03,1
66.15,13.66,0.46,7.91,1461.8,392,550,0.05,0.219,65.09,1
66.15,13.66,0.46,7.91,1461.8,385,1380,0.05,0.094,59.36,1
