reflectivity (%),thermal conductivity (W/mK),specific heat capacity (J/gK),density(g/cm3),melting point (C),laser power (watt),scan speed (mm/s),layer thickness (mm),hatch spacing (mm),relative density (%)
65,76.2,0.44,7.87,1535,372,1600,0.029,0.096,83.513,0.56891
65,76.2,0.44,7.87,1535,317,1010,0.034,0.102,90.502,0.58065
65,76.2,0.44,7.87,1535,264,1050,0.03,0.089,94.168,0.56446
65,76.2,0.44,7.87,1535,335,1060,0.051,0.094,65.924,0.53149
65,76.2,0.44,7.87,1535,367,1330,0.033,0.109,76.714,0.56326
65,76.2,0.44,7.87,1535,391,970,0.053,0.105,72.434,0.54748
65,76.2,0.44,7.87,1535,393,1310,0.045,0.087,76.628,0.54453
65,76.2,0.44,7.87,1535,387,980,0.039,0.151,67.057,0.51532
65,76.2,0.44,7.87,1535,288,1540,0.031,0.095,63.502,0.54596
65,76.2,0.44,7.87,1535,347,1780,0.035,0.086,64.765,0.51447
