density(g/cm3),shap,lowess density(g/cm3),lowess shap
2.698224,0.005501389503479004,1.8,-0.0005749351571675474
8.44,0.010298822075128555,1.8,-0.0005749351571675474
4.65,0.014790519140660763,1.8,-0.0005749351571675474
2.67,-0.015700731426477432,1.8,-0.0005749351571675474
8.44,0.015841040760278702,1.8,-0.0005749351571675474
8.44,0.014843698590993881,1.8,-0.0005749351571675474
8.9,0.028378590941429138,1.8,-0.0005749351571675474
1.81,-0.014622285962104797,1.8,-0.0005749351571675474
8.44,0.006608669646084309,1.8,-0.0005749351571675474
4.54,-0.016422349959611893,1.8,-0.0005749351571675474
7.8,-0.00493147037923336,1.8,-0.0005749351571675474
4.43,-0.003006936516612768,1.8,-0.0005749351571675474
7.85,0.027242504060268402,1.8,-0.0005749351571675474
2.67,-0.012651634402573109,1.8,-0.0005749351571675474
8.0,0.03137553110718727,1.8,-0.0005749351571675474
2.655008,-0.010873464867472649,1.803,-0.000586475318866124
8.23,0.012947024777531624,1.803,-0.000586475318866124
1.84,0.009212654083967209,1.803,-0.000586475318866124
7.85,0.03320896998047829,1.803,-0.000586475318866124
8.44,0.02205132506787777,1.803,-0.000586475318866124
8.93,-0.1329387128353119,1.803,-0.000586475318866124
7.83,0.007153268903493881,1.803,-0.000586475318866124
8.0,0.026567844673991203,1.803,-0.000586475318866124
2.78,-0.0008368915878236294,1.803,-0.000586475318866124
1.81,0.009671966545283794,1.803,-0.000586475318866124
8.23,0.02006899192929268,1.803,-0.000586475318866124
8.0,0.019483238458633423,1.803,-0.000586475318866124
8.44,0.01994229480624199,1.803,-0.000586475318866124
4.43,-0.01789516769349575,1.803,-0.000586475318866124
8.0,0.01598869264125824,1.803,-0.000586475318866124
1.81,0.0035521825775504112,1.803,-0.000586475318866124
8.0,0.03618030622601509,1.803,-0.000586475318866124
4.43,0.0020045735873281956,1.803,-0.000586475318866124
8.0,0.010430680587887764,1.803,-0.000586475318866124
4.43,-0.01719125360250473,1.803,-0.000586475318866124
4.65,-0.00231044739484787,1.803,-0.000586475318866124
19.3,-0.12730933725833893,1.81,-0.0006134008858089521
7.8,-0.009646824561059475,1.81,-0.0006134008858089521
8.0,0.02946474589407444,1.81,-0.0006134008858089521
8.23,0.026423241943120956,1.81,-0.0006134008858089521
8.0,0.016170749440789223,1.81,-0.0006134008858089521
8.44,0.0221570897847414,1.81,-0.0006134008858089521
8.0,0.01948234625160694,1.81,-0.0006134008858089521
1.81,0.0009003700688481331,1.81,-0.0006134008858089521
8.0,0.008661923930048943,1.81,-0.0006134008858089521
8.19,0.025903034955263138,1.81,-0.0006134008858089521
8.62,0.037665028125047684,1.81,-0.0006134008858089521
5.66,-0.023405123502016068,1.81,-0.0006134008858089521
1.84,-0.013455446809530258,1.81,-0.0006134008858089521
4.65,-0.01176714152097702,1.81,-0.0006134008858089521
1.81,0.018214456737041473,1.81,-0.0006134008858089521
2.7,-0.015905775129795074,1.81,-0.0006134008858089521
2.78,-0.012951863929629326,1.81,-0.0006134008858089521
8.44,0.016076920554041862,1.81,-0.0006134008858089521
7.8,-0.0024171038530766964,1.81,-0.0006134008858089521
4.43,-0.016854578629136086,1.81,-0.0006134008858089521
8.44,0.014461482875049114,1.81,-0.0006134008858089521
8.19,0.017339158803224564,1.81,-0.0006134008858089521
4.43,-0.01084896083921194,1.81,-0.0006134008858089521
8.0,0.01255128812044859,1.81,-0.0006134008858089521
7.8,-0.009339414536952972,1.81,-0.0006134008858089521
4.43,0.004594213329255581,1.81,-0.0006134008858089521
7.872,0.006595173850655556,1.84,-0.0007287716455726478
1.81,0.007544292137026787,1.84,-0.0007287716455726478
8.74,0.02186754159629345,1.84,-0.0007287716455726478
7.83,0.015063523314893246,1.84,-0.0007287716455726478
2.67,-0.012938735075294971,1.84,-0.0007287716455726478
4.43,-0.021835600957274437,1.84,-0.0007287716455726478
8.0,0.02473672851920128,1.84,-0.0007287716455726478
8.62,0.007882592268288136,1.84,-0.0007287716455726478
4.43,-0.01598205417394638,1.84,-0.0007287716455726478
4.43,-0.020467402413487434,1.84,-0.0007287716455726478
8.0,0.017926102504134178,1.84,-0.0007287716455726478
4.43,-0.015301322564482689,1.84,-0.0007287716455726478
2.78,-0.014824414625763893,1.84,-0.0007287716455726478
7.8,0.005242503248155117,1.84,-0.0007287716455726478
8.0,0.003805141896009445,1.84,-0.0007287716455726478
19.3,-0.12673528492450714,1.84,-0.0007287716455726478
8.93,-0.13687409460544586,1.84,-0.0007287716455726478
4.43,-0.0023545760195702314,1.84,-0.0007287716455726478
2.67,0.0003391886129975319,1.84,-0.0007287716455726478
2.67,0.014478066936135292,1.84,-0.0007287716455726478
4.43,-0.016985679045319557,1.84,-0.0007287716455726478
1.803,-0.006880014203488827,1.84,-0.0007287716455726478
2.67,0.0247816052287817,1.84,-0.0007287716455726478
1.84,-0.02770528569817543,1.84,-0.0007287716455726478
