energy density (J/mm3),shap,lowess energy density (J/mm3),lowess shap
44.87,0.012947430834174156,6.41,-0.1412574317411331
42.44,-0.053577445447444916,8.33,-0.1350522973664
184.32,0.034926965832710266,8.68,-0.13392514330014793
52.6,0.015635821968317032,10.94,-0.12667803325542934
52.61,0.034810472279787064,10.96,-0.12661414670572843
71.43,0.03554846718907356,11.11,-0.12613513944882182
494.79,0.05423569679260254,11.87,-0.12371205608101792
136.36,-0.022204361855983734,12.35,-0.12218508365539642
54.71,0.008373796939849854,12.4,-0.12202617736871982
43.29,-0.05428106337785721,12.5,-0.12170845219243885
64.1,0.04105541110038757,12.82,-0.12069251875835109
34.26,-0.0874733254313469,13.35,-0.11901254515765414
80.0,0.05512618646025658,13.89,-0.11730434635123892
444.44,0.03548283874988556,13.89,-0.11730434635123892
72.62,0.057251639664173126,14.29,-0.11604131062390942
32.05,-0.13247662782669067,14.88,-0.11418196202835472
87.96,0.02915673702955246,15.01,-0.11377286391048838
29.99,-0.13828279078006744,15.19,-0.11320677496405757
100.0,0.05068492889404297,15.26,-0.11298674094762969
30.11,-0.13838274776935577,15.26,-0.11298674094762969
211.64,0.03220302239060402,15.39,-0.11257827298692105
33.33,-0.16843247413635254,15.53,-0.11213862761225914
50.51,-0.004706907086074352,15.87,-0.11107197465378865
104.17,0.04372197017073631,15.87,-0.11107197465378865
45.45,0.025794655084609985,16.07,-0.11044523676428702
96.66,0.03008277714252472,16.64,-0.1086619351288547
39.68,-0.037793271243572235,16.67,-0.10856819721995559
89.8,0.043821170926094055,16.67,-0.10856819721995559
88.89,0.01692575216293335,17.36,-0.10641558825915537
57.69,0.0709761530160904,17.54,-0.10585510908973762
37.04,-0.03135066479444504,17.81,-0.10501523216098192
52.08,0.052444130182266235,17.81,-0.10501523216098192
83.47,0.026305221021175385,17.86,-0.10485981089052528
104.61,0.016185235232114792,17.86,-0.10485981089052528
96.39,0.017540352419018745,17.98,-0.10448694271527348
462.96,0.06571708619594574,18.52,-0.10281155249398272
162.04,0.026305213570594788,18.75,-0.1020992237626603
60.71,0.04508369415998459,18.85,-0.10178975340631606
33.12,-0.10895338654518127,18.97,-0.10141858020060172
73.86,0.023254789412021637,19.03,-0.1012330720787027
93.48,0.037118084728717804,19.84,-0.09873389255913023
85.71,0.02997267246246338,19.84,-0.09873389255913023
66.67,0.0643286257982254,19.97,-0.09833369844603723
100.0,0.0031206682324409485,20.0,-0.09824138205944176
23.28,-0.27541083097457886,20.03,-0.09814907924077251
91.67,0.07510019838809967,20.03,-0.09814907924077251
34.72,-0.10189151763916016,20.09,-0.09796451436427334
31.86,-0.14385969936847687,20.2,-0.09762628690745041
75.0,0.034182172268629074,20.41,-0.096981090640945
428.57,0.07575574517250061,20.41,-0.096981090640945
50.0,-0.013342069461941719,20.74,-0.09596857539958346
208.33,0.04146672785282135,20.83,-0.09569272648555782
39.68,-0.028048638254404068,20.83,-0.09569272648555782
70.95,0.058781422674655914,20.83,-0.09569272648555782
184.62,0.019135817885398865,20.94,-0.09535574858917638
34.72,-0.08734211325645447,21.26,-0.09437652393640292
87.59,0.032055988907814026,21.37,-0.0940402872394108
66.67,0.0387580469250679,21.37,-0.0940402872394108
50.0,-0.04123220965266228,21.37,-0.0940402872394108
267.86,0.03912382572889328,21.46,-0.09376532683609169
31.48,-0.06871519982814789,22.07,-0.09190511565637029
50.64,-0.029756169766187668,22.22,-0.09144860609770293
54.55,0.061755165457725525,22.22,-0.09144860609770293
47.72,0.017513509839773178,22.22,-0.09144860609770293
41.67,-0.04844208061695099,22.22,-0.09144860609770293
306.67,0.012973569333553314,22.22,-0.09144860609770293
67.69,0.028427356854081154,22.32,-0.09114447008132476
21.37,-0.3383823037147522,22.89,-0.08941403684823958
153.85,0.018663644790649414,22.89,-0.08941403684823958
77.78,0.029616303741931915,22.96,-0.08920189935313766
101.33,0.033820461481809616,23.28,-0.08823317572838746
123.08,0.03058372251689434,23.32,-0.08811220679559718
55.56,0.05147215723991394,23.42,-0.08780990325942215
55.56,-0.010737955570220947,23.81,-0.08663255136395459
277.78,0.04938465729355812,23.81,-0.08663255136395459
437.5,0.0513208732008934,23.81,-0.08663255136395459
34.57,-0.0653003379702568,23.97,-0.08615029255525548
21.37,-0.34514760971069336,24.02,-0.08599967769594455
32.05,-0.08957774192094803,24.29,-0.08518711074163493
196.92,0.025843102484941483,24.31,-0.08512697137188936
214.29,0.03830696642398834,24.65,-0.08410568177590644
213.68,0.05013047158718109,24.69,-0.08398566478598395
31.76,-0.15227188169956207,24.69,-0.08398566478598395
444.44,0.028502769768238068,24.97,-0.0831463463881382
156.25,0.045082688331604004,25.0,-0.08305650285992837
111.11,0.05598900094628334,25.0,-0.08305650285992837
173.61,0.04388805851340294,25.19,-0.08248787116657169
166.67,-0.0036377012729644775,25.46,-0.08168094340165583
492.06,0.07217574864625931,25.51,-0.08153165852246493
32.95,-0.10247215628623962,25.64,-0.08114373280670312
226.67,0.02113370969891548,25.93,-0.08027948541201575
48.61,-0.019138015806674957,26.04,-0.07995207659402981
83.33,0.06969425827264786,26.46,-0.07870406094113265
138.89,0.05947701632976532,26.67,-0.07808130698764532
92.86,0.06182273477315903,26.71,-0.07796278273902135
66.67,0.0358118899166584,26.71,-0.07796278273902135
55.56,0.01151224598288536,26.71,-0.07796278273902135
100.0,0.026922736316919327,26.71,-0.07796278273902135
34.72,-0.07145875692367554,27.06,-0.07692700945025102
151.52,0.01998605579137802,27.08,-0.07686789399221058
76.39,0.04355410113930702,27.41,-0.07589361578184875
55.56,-0.00589945912361145,27.47,-0.07571670370727226
37.39,-0.024518094956874847,27.49,-0.07565774877951488
138.89,0.013649579137563705,27.55,-0.07548093136656661
20.03,-0.33804962038993835,27.78,-0.07480379194029445
97.22,0.03801007196307182,27.78,-0.07480379194029445
141.67,0.015351429581642151,27.78,-0.07480379194029445
61.11,0.039518605917692184,27.78,-0.07480379194029445
85.76,0.03475326672196388,27.78,-0.07480379194029445
37.1,-0.0522785447537899,27.78,-0.07480379194029445
64.1,0.06312501430511475,27.78,-0.07480379194029445
76.39,0.04208461940288544,28.57,-0.0724860419919742
129.63,0.01095861941576004,28.59,-0.07242752893923908
51.14,0.03955273702740669,28.74,-0.0719889420551383
133.33,0.012399785220623016,28.85,-0.07166760527636389
72.09,0.042424820363521576,29.14,-0.07082164231568953
78.13,0.061283741146326065,29.28,-0.0704138714163575
185.19,0.03832399100065231,29.32,-0.07029744056203859
40.48,-0.05125250667333603,29.59,-0.06951240956438816
80.0,0.04884318262338638,29.63,-0.06939623910332514
233.33,0.028720920905470848,29.91,-0.06858399397228904
321.43,0.05022052675485611,29.91,-0.06858399397228904
175.93,0.0038192421197891235,29.91,-0.06858399397228904
85.71,0.03972117602825165,29.91,-0.06858399397228904
41.67,0.006607651710510254,29.91,-0.06858399397228904
29.63,-0.1995527595281601,29.91,-0.06858399397228904
41.67,-0.056505002081394196,29.99,-0.0683522299126275
138.89,0.040139488875865936,30.11,-0.06800483995642041
37.04,-0.04515302926301956,30.22,-0.06768666988413585
44.64,-0.003465671092271805,30.3,-0.06745543653120134
