hatch spacing (mm),shap,lowess hatch spacing (mm),lowess shap
0.13,-0.017532479017972946,0.02,-0.013285005063514375
0.12,-0.016804398968815804,0.02,-0.013285005063514375
0.095,0.024515926837921143,0.02,-0.013285005063514375
0.0975,-0.01884160004556179,0.02,-0.013285005063514375
0.099,0.006300446577370167,0.03,-0.011664302556660334
0.1,0.005853729322552681,0.03,-0.011664302556660334
0.08,0.025272024795413017,0.03,-0.011664302556660334
0.11,-0.01861264556646347,0.03,-0.011664302556660334
0.053,-0.016330290585756302,0.03,-0.011664302556660334
0.077,-0.0022936686873435974,0.03,-0.011664302556660334
0.08,-0.0035963263362646103,0.03,-0.011664302556660334
0.12,-0.011401527561247349,0.03,-0.011664302556660334
0.07,-0.0019008270464837551,0.03,-0.011664302556660334
0.03,-0.03183569386601448,0.03,-0.011664302556660334
0.12,-0.0046195052564144135,0.03,-0.011664302556660334
0.13,-0.036979250609874725,0.03,-0.011664302556660334
0.09,-0.008292488753795624,0.03,-0.011664302556660334
0.13,-0.023619474843144417,0.03,-0.011664302556660334
0.07,0.0008756872266530991,0.03,-0.011664302556660334
0.09,0.007665962912142277,0.03,-0.011664302556660334
0.1,-0.005850058048963547,0.031,-0.011493593874028487
0.11,0.012997251935303211,0.035,-0.010792932181297418
0.09,0.009708229452371597,0.036,-0.010613055639462163
0.11,0.010608384385704994,0.037,-0.010431183518363857
0.11,0.006734277121722698,0.04,-0.009872985951809502
0.12,-0.020224476233124733,0.04,-0.009872985951809502
0.058,-0.01390216127038002,0.04,-0.009872985951809502
0.1,-0.011759163811802864,0.04,-0.009872985951809502
0.04,-0.014532670378684998,0.04,-0.009872985951809502
0.13,-0.0020869839936494827,0.04,-0.009872985951809502
0.09,0.01598069816827774,0.04,-0.009872985951809502
0.12,0.012572629377245903,0.04,-0.009872985951809502
0.124,-0.05079260468482971,0.04,-0.009872985951809502
0.065,-0.036198217421770096,0.04,-0.009872985951809502
0.095,-0.0002421550452709198,0.04,-0.009872985951809502
0.06,0.008126028813421726,0.04,-0.009872985951809502
0.04,0.004267506301403046,0.04,-0.009872985951809502
0.12,-0.008243084885179996,0.04,-0.009872985951809502
0.13,-0.013076478615403175,0.04,-0.009872985951809502
0.12,-0.013732531107962132,0.04,-0.009872985951809502
0.117,-0.01546432077884674,0.04,-0.009872985951809502
0.12,-0.012496360577642918,0.04,-0.009872985951809502
0.09,0.0014514895156025887,0.04,-0.009872985951809502
0.05,-0.013451943174004555,0.04,-0.009872985951809502
0.157,-0.04128916189074516,0.04,-0.009872985951809502
0.04,0.01810210570693016,0.04,-0.009872985951809502
0.08,-0.011128019541501999,0.04,-0.009872985951809502
0.13,-0.03445698320865631,0.04,-0.009872985951809502
0.1,0.0007676072418689728,0.04,-0.009872985951809502
0.07,0.013306824490427971,0.04,-0.009872985951809502
0.1,-0.0012195957824587822,0.04,-0.009872985951809502
0.09,0.008230159059166908,0.04,-0.009872985951809502
0.14,-0.03207571804523468,0.04,-0.009872985951809502
0.08,0.010051549412310123,0.04,-0.009872985951809502
0.065,-0.03416118025779724,0.04,-0.009872985951809502
0.12,-0.01657709851861,0.04,-0.009872985951809502
0.11,0.005247069522738457,0.04,-0.009872985951809502
0.14,-0.025944499298930168,0.04,-0.009872985951809502
0.08,-0.00128872599452734,0.04,-0.009872985951809502
0.04,0.006214942783117294,0.04,-0.009872985951809502
0.12,-0.008562232367694378,0.04,-0.009872985951809502
0.06,-0.03716017305850983,0.04,-0.009872985951809502
0.11,0.012671981006860733,0.04,-0.009872985951809502
0.042,0.010012234561145306,0.04,-0.009872985951809502
0.12,-0.019559107720851898,0.04,-0.009872985951809502
0.05,-0.05251338332891464,0.04,-0.009872985951809502
0.065,-0.035914164036512375,0.04,-0.009872985951809502
0.12,-0.008698235265910625,0.04,-0.009872985951809502
0.04,-0.015038199722766876,0.04,-0.009872985951809502
0.065,-0.031216494739055634,0.04,-0.009872985951809502
0.08,-0.003044538665562868,0.04,-0.009872985951809502
0.12,-0.015333008021116257,0.04,-0.009872985951809502
0.065,-0.03007398173213005,0.04,-0.009872985951809502
0.09,0.005181433632969856,0.04,-0.009872985951809502
0.08,0.018800312653183937,0.04,-0.009872985951809502
0.09,-0.007863743230700493,0.04,-0.009872985951809502
0.1,0.015452039428055286,0.04,-0.009872985951809502
0.1,0.009938308969140053,0.04,-0.009872985951809502
0.09,-0.0037409737706184387,0.042,-0.009489944337205077
0.13,-0.039663903415203094,0.042,-0.009489944337205077
0.13,-0.021431678906083107,0.042,-0.009489944337205077
0.065,-0.03226330876350403,0.044,-0.009098618432510915
0.07,0.005352492909878492,0.045,-0.008900093274125397
0.13,0.012731717899441719,0.045,-0.008900093274125397
0.13,-0.039951398968696594,0.045,-0.008900093274125397
0.08,0.001919744536280632,0.046,-0.008699804265746146
0.12,-0.04018081724643707,0.05,-0.007883537145178037
0.06,0.015916215255856514,0.05,-0.007883537145178037
0.09,0.004227219615131617,0.05,-0.007883537145178037
0.12,0.0026631373912096024,0.05,-0.007883537145178037
0.07,0.026486599817872047,0.05,-0.007883537145178037
0.088,0.0019627539440989494,0.05,-0.007883537145178037
0.05,-0.012006042525172234,0.05,-0.007883537145178037
0.12,-0.023245342075824738,0.05,-0.007883537145178037
0.08,0.036747951060533524,0.05,-0.007883537145178037
0.12,0.008658777922391891,0.05,-0.007883537145178037
0.12,0.005117727443575859,0.05,-0.007883537145178037
0.075,-0.0002101580612361431,0.05,-0.007883537145178037
0.1,0.0014873864129185677,0.05,-0.007883537145178037
0.07,0.032209835946559906,0.05,-0.007883537145178037
0.07,-0.012269974686205387,0.05,-0.007883537145178037
0.12,-0.0036903582513332367,0.05,-0.007883537145178037
0.11,0.005380071233958006,0.05,-0.007883537145178037
0.12,-0.009123319759964943,0.05,-0.007883537145178037
0.1,-0.0034768935292959213,0.05,-0.007883537145178037
0.13,-0.018934786319732666,0.05,-0.007883537145178037
0.04,-0.0006340062245726585,0.05,-0.007883537145178037
0.13,-0.03236071392893791,0.05,-0.007883537145178037
0.12,-0.015555381774902344,0.05,-0.007883537145178037
0.05,-0.014032550156116486,0.05,-0.007883537145178037
0.12,-0.012111509218811989,0.05,-0.007883537145178037
0.14,-0.02700982242822647,0.05,-0.007883537145178037
0.14,-0.02766009233891964,0.05,-0.007883537145178037
0.13,-0.009792333468794823,0.05,-0.007883537145178037
0.12,-0.015035317279398441,0.05,-0.007883537145178037
0.09,-0.008800992742180824,0.05,-0.007883537145178037
0.11,0.024947360157966614,0.05,-0.007883537145178037
0.065,-0.045631859451532364,0.05,-0.007883537145178037
0.13,-0.026559732854366302,0.05,-0.007883537145178037
0.06,0.0018183509819209576,0.05,-0.007883537145178037
0.09,0.0012430609203875065,0.05,-0.007883537145178037
0.14,-0.032795459032058716,0.05,-0.007883537145178037
0.1,0.02519383281469345,0.05,-0.007883537145178037
0.05,-0.007765274494886398,0.05,-0.007883537145178037
0.08,0.007361810188740492,0.05,-0.007883537145178037
0.09,-0.0307189729064703,0.05,-0.007883537145178037
0.1,0.007753990590572357,0.05,-0.007883537145178037
0.02,0.01711672730743885,0.05,-0.007883537145178037
0.1,0.015830719843506813,0.05,-0.007883537145178037
0.15,-0.04015670344233513,0.05,-0.007883537145178037
0.12,-0.029228592291474342,0.05,-0.007883537145178037
0.09,0.009028429165482521,0.05,-0.007883537145178037
0.1,0.0028474824503064156,0.05,-0.007883537145178037
0.06,-0.0002178773283958435,0.05,-0.007883537145178037
