specific heat capacity (J/gK),shap,lowess specific heat capacity (J/gK),lowess shap
0.902487047,0.007643857039511204,0.134,-0.00972626448354673
0.41,0.0004924801178276539,0.134,-0.00972626448354673
0.5,0.010281971655786037,0.134,-0.00972626448354673
0.88414745,-0.015535995364189148,0.134,-0.00972626448354673
0.41,0.0013511022552847862,0.134,-0.00972626448354673
0.41,0.00615503266453743,0.134,-0.00972626448354673
0.38,0.008552657440304756,0.134,-0.00972626448354673
1.047,-0.0786399245262146,0.134,-0.00972626448354673
0.41,-0.014459731057286263,0.134,-0.00972626448354673
0.46,-0.015009598806500435,0.134,-0.00972626448354673
0.47,0.0004973344039171934,0.134,-0.00972626448354673
0.5263,-0.0010484317317605019,0.134,-0.00972626448354673
0.47,0.0008060317486524582,0.134,-0.00972626448354673
0.88414745,-0.013554657809436321,0.134,-0.00972626448354673
0.5,0.003905639983713627,0.134,-0.00972626448354673
0.963005181,-0.004041915759444237,0.134,-0.00972626448354673
0.461,-0.008081658743321896,0.134,-0.00972626448354673
1.0,0.012639462947845459,0.134,-0.00972626448354673
0.47,-0.0025128221604973078,0.134,-0.00972626448354673
0.41,0.00437832809984684,0.134,-0.00972626448354673
0.385,0.0037333436775952578,0.134,-0.00972626448354673
0.48,-0.0013656835071742535,0.134,-0.00972626448354673
0.5,0.003364636329934001,0.134,-0.00972626448354673
0.875,-0.005435689352452755,0.134,-0.00972626448354673
1.047,-0.06247681379318237,0.134,-0.00972626448354673
0.461,-0.009565810672938824,0.134,-0.00972626448354673
0.5,-0.0034006433561444283,0.134,-0.00972626448354673
0.41,0.0026927157305181026,0.134,-0.00972626448354673
0.5263,-0.0033303704112768173,0.134,-0.00972626448354673
0.5,-0.007037635892629623,0.134,-0.00972626448354673
1.047,-0.05970677733421326,0.134,-0.00972626448354673
0.5,0.008765621110796928,0.134,-0.00972626448354673
0.5263,0.014837155118584633,0.134,-0.00972626448354673
0.5,-0.008397557772696018,0.134,-0.00972626448354673
0.5263,-0.004413112998008728,0.134,-0.00972626448354673
0.5,-0.0034052240662276745,0.134,-0.00972626448354673
0.134,-0.00786618236452341,0.134,-0.00972626448354673
0.47,-0.0017745215445756912,0.134,-0.00972626448354673
0.5,0.0020394588354974985,0.134,-0.00972626448354673
0.461,-0.0020062867552042007,0.134,-0.00972626448354673
0.5,-0.005454679951071739,0.134,-0.00972626448354673
0.41,0.006446285173296928,0.134,-0.00972626448354673
0.5,2.2495631128549576e-05,0.134,-0.00972626448354673
1.047,-0.07016882300376892,0.134,-0.00972626448354673
0.5,-0.005465055350214243,0.134,-0.00972626448354673
0.435,0.007842125371098518,0.134,-0.00972626448354673
0.422,0.022891364991664886,0.134,-0.00972626448354673
0.56,-0.0059650614857673645,0.134,-0.00972626448354673
1.0,-0.007751313969492912,0.134,-0.00972626448354673
0.5,-0.003846936859190464,0.377,0.0025501502036760814
1.047,-0.03997672349214554,0.377,0.0025501502036760814
0.89,-0.01921124756336212,0.377,0.0025501502036760814
0.875,-0.007851794362068176,0.377,0.0025501502036760814
0.41,-0.0011860989034175873,0.377,0.0025501502036760814
0.705,0.017627840861678123,0.377,0.0025501502036760814
0.5263,-0.004248676355928183,0.377,0.0025501502036760814
0.41,-0.010108386166393757,0.377,0.0025501502036760814
0.435,-0.0048534865491092205,0.377,0.0025501502036760814
0.5263,-0.0008926137816160917,0.377,0.0025501502036760814
0.5,-0.007960569113492966,0.377,0.0025501502036760814
0.47,-0.0013237455859780312,0.377,0.0025501502036760814
0.5263,0.005492413882166147,0.377,0.0025501502036760814
0.481,-0.005268039181828499,0.377,0.0025501502036760814
1.047,-0.06717229634523392,0.377,0.0025501502036760814
0.5,0.0010376768186688423,0.377,0.0025501502036760814
0.48,0.0031950895208865404,0.377,0.0025501502036760814
0.88414745,-0.01935647428035736,0.377,0.0025501502036760814
0.5263,-0.0036389040760695934,0.377,0.0025501502036760814
0.5,-0.0015057721175253391,0.377,0.0025501502036760814
0.422,-0.002834684681147337,0.377,0.0025501502036760814
0.5263,-0.0031081666238605976,0.377,0.0025501502036760814
0.5263,-0.001544301863759756,0.377,0.0025501502036760814
0.5,0.0009046002523973584,0.377,0.0025501502036760814
0.5263,-0.0035284729674458504,0.377,0.0025501502036760814
0.875,-0.011402951553463936,0.377,0.0025501502036760814
0.47,0.015063012018799782,0.377,0.0025501502036760814
0.5,-0.0041488343849778175,0.377,0.0025501502036760814
0.134,-0.008529789745807648,0.377,0.0025501502036760814
0.385,0.0033601904287934303,0.377,0.0025501502036760814
0.5263,9.577651508152485e-05,0.377,0.0025501502036760814
0.88414745,-0.01000251155346632,0.377,0.0025501502036760814
0.88414745,0.003088831901550293,0.377,0.0025501502036760814
0.5263,-0.004663272760808468,0.377,0.0025501502036760814
1.06,-0.06618434190750122,0.377,0.0025501502036760814
0.88414745,0.002301035914570093,0.377,0.0025501502036760814
1.0,-0.005277233198285103,0.377,0.0025501502036760814
0.38,-0.0036179199814796448,0.38,0.0024275606918290455
0.38,-0.0012235641479492188,0.38,0.0024275606918290455
0.5,0.004828047938644886,0.38,0.0024275606918290455
0.385,0.009196620434522629,0.38,0.0024275606918290455
0.5,0.002798058558255434,0.38,0.0024275606918290455
1.0,-0.006999088451266289,0.38,0.0024275606918290455
0.38,0.013101339340209961,0.38,0.0024275606918290455
0.41,-0.002363225445151329,0.38,0.0024275606918290455
0.377,-0.010544474236667156,0.38,0.0024275606918290455
0.5263,-0.004811781458556652,0.38,0.0024275606918290455
0.56,0.020271550863981247,0.38,0.0024275606918290455
0.377,0.020239168778061867,0.38,0.0024275606918290455
0.5,0.004697196651250124,0.38,0.0024275606918290455
0.5,-0.0025156501214951277,0.38,0.0024275606918290455
0.963,-1.2331176549196243e-05,0.38,0.0024275606918290455
0.38,0.014626185409724712,0.38,0.0024275606918290455
0.47,-0.009283478371798992,0.38,0.0024275606918290455
0.461,-0.0019479002803564072,0.38,0.0024275606918290455
0.5,-0.005289355292916298,0.38,0.0024275606918290455
0.7148,-0.0011533903889358044,0.38,0.0024275606918290455
0.5263,-0.0015737763606011868,0.38,0.0024275606918290455
0.904974093,0.005393782630562782,0.38,0.0024275606918290455
0.47,-0.005217402707785368,0.38,0.0024275606918290455
0.88414745,-0.005358944181352854,0.38,0.0024275606918290455
0.41,0.004479151219129562,0.38,0.0024275606918290455
0.461,-0.009253807365894318,0.38,0.0024275606918290455
0.5,0.0011247680522501469,0.38,0.0024275606918290455
0.7148,-0.001127034891396761,0.38,0.0024275606918290455
0.435,0.0009256056509912014,0.38,0.0024275606918290455
0.9,0.013226886279881,0.38,0.0024275606918290455
0.435,-0.0017564557492733002,0.38,0.0024275606918290455
0.5,-0.012861848808825016,0.38,0.0024275606918290455
0.461,0.005676588974893093,0.38,0.0024275606918290455
0.5263,-0.007345162332057953,0.38,0.0024275606918290455
1.0,0.013290987350046635,0.38,0.0024275606918290455
1.05,-0.04826684296131134,0.38,0.0024275606918290455
0.385,0.00694881659001112,0.38,0.0024275606918290455
0.435,-0.006880798377096653,0.38,0.0024275606918290455
0.5718,0.010007258504629135,0.38,0.0024275606918290455
0.5,-0.0024661608040332794,0.38,0.0024275606918290455
0.385,0.004730573855340481,0.38,0.0024275606918290455
0.461,-0.015333668328821659,0.38,0.0024275606918290455
0.41,0.002344912849366665,0.38,0.0024275606918290455
0.88414745,0.010206297971308231,0.38,0.0024275606918290455
0.5263,0.008955363184213638,0.38,0.0024275606918290455
0.5,-0.008425360545516014,0.38,0.0024275606918290455
0.43,-0.03163795545697212,0.38,0.0024275606918290455
0.875,-0.0054936278611421585,0.38,0.0024275606918290455
0.5263,0.005344012286514044,0.38,0.0024275606918290455
1.05,-0.0563068613409996,0.38,0.0024275606918290455
0.705,0.009287890046834946,0.38,0.0024275606918290455
0.461,-0.009447334334254265,0.38,0.0024275606918290455
0.461,-0.00045337609481066465,0.38,0.0024275606918290455
0.875,-0.009102045558393002,0.38,0.0024275606918290455
0.5,0.004193480592221022,0.38,0.0024275606918290455
1.047,-0.037668704986572266,0.38,0.0024275606918290455
0.385,0.008361930958926678,0.38,0.0024275606918290455
0.5,0.004932055249810219,0.38,0.0024275606918290455
1.0,0.0005882633849978447,0.38,0.0024275606918290455
0.5,0.0013507097028195858,0.38,0.0024275606918290455
0.7148,-0.001001805067062378,0.38,0.0024275606918290455
0.5,-0.007628782652318478,0.38,0.0024275606918290455
0.48,0.01065535843372345,0.38,0.0024275606918290455
0.41,0.015351294539868832,0.38,0.0024275606918290455
0.88414745,-0.0037870006635785103,0.385,0.0022249018970874864
0.385,0.007167213596403599,0.385,0.0022249018970874864
0.38,0.002075251191854477,0.385,0.0022249018970874864
0.47,0.004245765507221222,0.385,0.0022249018970874864
0.5,0.0009563176427036524,0.385,0.0022249018970874864
0.385,0.004762645810842514,0.385,0.0022249018970874864
0.385,0.004683570004999638,0.385,0.0022249018970874864
0.41,0.012522932142019272,0.385,0.0022249018970874864
0.5,0.004426239989697933,0.385,0.0022249018970874864
0.435,0.0196351557970047,0.385,0.0022249018970874864
0.919948187,0.004614954348653555,0.385,0.0022249018970874864
0.88414745,-0.011621708981692791,0.385,0.0022249018970874864
0.461,-0.003937528468668461,0.385,0.0022249018970874864
0.63619,-0.0035723289474844933,0.385,0.0022249018970874864
0.435,0.006218554452061653,0.385,0.0022249018970874864
1.047,-0.06386145204305649,0.385,0.0022249018970874864
0.5263,-0.004916233941912651,0.385,0.0022249018970874864
0.875,-0.00937863439321518,0.385,0.0022249018970874864
0.5,0.005904452875256538,0.385,0.0022249018970874864
0.435,-0.011923462152481079,0.385,0.0022249018970874864
0.5,0.0042428746819496155,0.385,0.0022249018970874864
0.5263,-0.0004652654752135277,0.385,0.0022249018970874864
0.41,-0.0024510431103408337,0.385,0.0022249018970874864
0.88414745,0.0019039902836084366,0.385,0.0022249018970874864
0.5263,-0.004819951485842466,0.385,0.0022249018970874864
1.06,-0.0687514916062355,0.385,0.0022249018970874864
0.43,0.0034343674778938293,0.385,0.0022249018970874864
0.5,-0.0030838793609291315,0.385,0.0022249018970874864
0.5,-0.006746875587850809,0.385,0.0022249018970874864
0.5,0.004523643292486668,0.385,0.0022249018970874864
0.5,0.004622573032975197,0.385,0.0022249018970874864
0.5,0.003122912719845772,0.385,0.0022249018970874864
0.88414745,-0.021847743541002274,0.385,0.0022249018970874864
1.0,0.016009826213121414,0.385,0.0022249018970874864
0.5263,0.013946907594799995,0.385,0.0022249018970874864
0.43,0.003113042563199997,0.385,0.0022249018970874864
0.41,0.001949432771652937,0.385,0.0022249018970874864
0.88414745,-0.018309365957975388,0.385,0.0022249018970874864
0.435,-0.004797501489520073,0.385,0.0022249018970874864
0.5,-0.0066296374425292015,0.385,0.0022249018970874864
0.134,-0.009267961606383324,0.385,0.0022249018970874864
0.47,-0.005388509016484022,0.385,0.0022249018970874864
0.47,-0.005201846361160278,0.385,0.0022249018970874864
0.41,0.009697305969893932,0.385,0.0022249018970874864
0.41,0.006859621964395046,0.385,0.0022249018970874864
0.385,0.0029231347143650055,0.385,0.0022249018970874864
1.0,0.01441773772239685,0.385,0.0022249018970874864
0.422,-0.0010920665226876736,0.385,0.0022249018970874864
0.5,0.0111007709056139,0.385,0.0022249018970874864
0.5,0.0040582092478871346,0.385,0.0022249018970874864
0.134,-0.01787879317998886,0.385,0.0022249018970874864
0.5,0.01752374693751335,0.385,0.0022249018970874864
0.47,0.004103553481400013,0.385,0.0022249018970874864
0.88414745,-0.011141224764287472,0.385,0.0022249018970874864
0.88414745,-0.01977863907814026,0.385,0.0022249018970874864
0.5263,-0.0062932767905294895,0.385,0.0022249018970874864
0.896,-0.01927175745368004,0.385,0.0022249018970874864
0.5,-0.00596342608332634,0.385,0.0022249018970874864
0.5718,0.012931976467370987,0.385,0.0022249018970874864
0.38,-0.005488846451044083,0.385,0.0022249018970874864
0.5263,-0.005116665735840797,0.385,0.0022249018970874864
0.377,-0.016811557114124298,0.385,0.0022249018970874864
0.5,0.008509069681167603,0.385,0.0022249018970874864
0.56,-0.018374744802713394,0.385,0.0022249018970874864
0.385,0.004103659652173519,0.41,0.0012617225671207757
0.5,-0.0009420434944331646,0.41,0.0012617225671207757
0.963,0.00489295506849885,0.41,0.0012617225671207757
0.9,-0.026813413947820663,0.41,0.0012617225671207757
0.47,0.001275310292840004,0.41,0.0012617225671207757
0.5263,0.004420282319188118,0.41,0.0012617225671207757
0.88414745,-0.006096234079450369,0.41,0.0012617225671207757
