laser power (watt),shap,lowess laser power (watt),lowess shap
350.0,0.06903039664030075,50.0,-0.20105941155383913
275.0,0.0418618768453598,50.0,-0.20105941155383913
275.0,0.06645063310861588,50.0,-0.20105941155383913
200.0,-0.01168313343077898,50.0,-0.20105941155383913
350.0,0.06535285711288452,50.0,-0.20105941155383913
250.0,0.016532549634575844,50.0,-0.20105941155383913
200.0,-0.00986632052809,50.0,-0.20105941155383913
225.0,-0.007655714638531208,50.0,-0.20105941155383913
95.0,-0.17607396841049194,50.0,-0.20105941155383913
200.0,0.00394080113619566,50.0,-0.20105941155383913
370.0,0.08884617686271667,50.0,-0.20105941155383913
370.0,0.07633709907531738,50.0,-0.20105941155383913
200.0,-0.004766017198562622,50.0,-0.20105941155383913
200.0,0.022781020030379295,50.0,-0.20105941155383913
250.0,-0.001131582073867321,50.0,-0.20105941155383913
95.0,-0.1676935851573944,50.0,-0.20105941155383913
250.0,0.029974624514579773,50.0,-0.20105941155383913
100.0,-0.12259421497583389,50.0,-0.20105941155383913
350.0,0.07144392281770706,50.0,-0.20105941155383913
200.0,0.015200708992779255,50.0,-0.20105941155383913
180.0,-0.05620580166578293,50.0,-0.20105941155383913
200.0,0.005172228906303644,60.0,-0.1883532506010168
225.0,0.017152680084109306,60.0,-0.1883532506010168
200.0,0.014245061203837395,60.0,-0.1883532506010168
185.0,-0.024619415402412415,60.0,-0.1883532506010168
200.0,-0.010230313055217266,60.0,-0.1883532506010168
350.0,0.05991069972515106,60.9,-0.18720566644950354
160.0,-0.10180896520614624,66.48,-0.18007628229434736
175.0,-0.048359110951423645,70.0,-0.1755666130732926
200.0,0.009213444776833057,70.0,-0.1755666130732926
160.0,-0.046810947358608246,70.0,-0.1755666130732926
150.0,-0.07288972288370132,70.0,-0.1755666130732926
180.0,-0.0488758385181427,70.0,-0.1755666130732926
200.0,-0.019489100202918053,70.0,-0.1755666130732926
187.5,-0.03479388356208801,70.0,-0.1755666130732926
250.0,0.03447336703538895,70.0,-0.1755666130732926
175.0,-0.01664208248257637,73.0,-0.17171605043582772
200.0,0.018185727298259735,75.0,-0.16914561503854203
155.0,-0.05518660694360733,75.0,-0.16914561503854203
195.0,-0.011085620149970055,75.0,-0.16914561503854203
350.0,0.05196085572242737,75.0,-0.16914561503854203
200.0,0.008181769400835037,75.0,-0.16914561503854203
200.0,0.007410825230181217,75.0,-0.16914561503854203
50.0,-0.20556311309337616,75.0,-0.16914561503854203
200.0,0.011283988133072853,80.0,-0.16270887636477824
110.0,-0.10135523974895477,80.0,-0.16270887636477824
200.0,-0.005155866965651512,80.0,-0.16270887636477824
100.0,-0.1824561357498169,80.0,-0.16270887636477824
270.0,0.04354536533355713,80.0,-0.16270887636477824
200.0,0.027679158374667168,80.0,-0.16270887636477824
300.0,0.052139848470687866,80.0,-0.16270887636477824
150.0,-0.07438725233078003,80.0,-0.16270887636477824
200.0,0.0006409815978258848,80.0,-0.16270887636477824
105.0,-0.11691675335168839,80.0,-0.16270887636477824
200.0,-0.01748894527554512,80.0,-0.16270887636477824
200.0,-0.009562973864376545,83.1,-0.1587115028333366
285.0,0.04976547136902809,85.0,-0.1562594888058134
280.0,0.06547211110591888,85.0,-0.1562594888058134
50.0,-0.19363369047641754,87.0,-0.15367709504804114
225.0,0.025983499363064766,89.1,-0.15096444328988307
340.0,0.09233102202415466,90.0,-0.14980161114502427
350.0,0.023609891533851624,90.0,-0.14980161114502427
200.0,0.010488425381481647,90.0,-0.14980161114502427
160.81,-0.054086834192276,90.0,-0.14980161114502427
240.0,0.013406088575720787,90.0,-0.14980161114502427
230.0,0.0004886388778686523,90.0,-0.14980161114502427
200.0,-0.018654514104127884,93.0,-0.14592484652991544
200.0,0.011052961461246014,95.0,-0.1433402342814741
150.0,-0.09670951962471008,95.0,-0.1433402342814741
200.0,-0.015905309468507767,95.0,-0.1433402342814741
280.0,0.04916014522314072,95.0,-0.1433402342814741
380.0,0.06792600452899933,95.0,-0.1433402342814741
200.0,-0.015700574964284897,95.0,-0.1433402342814741
200.0,0.0037365909665822983,95.0,-0.1433402342814741
200.0,0.026634743437170982,95.0,-0.1433402342814741
50.0,-0.22685334086418152,95.0,-0.1433402342814741
250.0,0.03000890277326107,95.0,-0.1433402342814741
175.0,-0.035676389932632446,95.0,-0.1433402342814741
