high scan speed (mm/s) and hatch spacing (mm),shap,lowess high scan speed (mm/s) and hatch spacing (mm),lowess shap,low scan speed (mm/s) and hatch spacing (mm),shap,lowess low scan speed (mm/s) and hatch spacing (mm),lowess shap
0.13,0.003157973289489746,0.01,-0.01174965320436403,0.095,-0.014950066804885864,0.02,0.028338196159403715
0.12,0.012340197339653969,0.03,-0.00916357120150862,0.08,0.0014586672186851501,0.02,0.028338196159403715
0.0975,0.022440791130065918,0.03,-0.00916357120150862,0.11,0.02843582071363926,0.02,0.028338196159403715
0.099,-0.006226534955203533,0.03,-0.00916357120150862,0.03,0.04769086465239525,0.02,0.028338196159403715
0.1,0.002930186688899994,0.03,-0.00916357120150862,0.12,-0.06527486443519592,0.03,0.029803058961903852
0.053,0.020027097314596176,0.03,-0.00916357120150862,0.09,0.013074981048703194,0.03,0.029803058961903852
0.077,-0.002708353102207184,0.03,-0.00916357120150862,0.07,-0.005143832881003618,0.03,0.029803058961903852
0.08,0.010054633021354675,0.03,-0.00916357120150862,0.09,0.005104199051856995,0.03,0.029803058961903852
0.12,0.018956774845719337,0.03,-0.00916357120150862,0.04,0.05357054993510246,0.03,0.029803058961903852
0.07,-0.0066959187388420105,0.03,-0.00916357120150862,0.12,-0.08901222050189972,0.03,0.029803058961903852
0.13,0.018199633806943893,0.03,-0.00916357120150862,0.124,0.037612393498420715,0.04,0.0303267671776539
0.13,-0.006574328988790512,0.031,-0.009035755262266474,0.065,0.09348511695861816,0.04,0.0303267671776539
0.173,-4.354584962129593e-05,0.035,-0.008527436611498011,0.095,-0.00827644020318985,0.04,0.0303267671776539
0.1,0.006643645465373993,0.036,-0.008401250698603917,0.06,0.004024922847747803,0.04,0.0303267671776539
0.11,-0.00349573977291584,0.037,-0.008275493613315258,0.12,-0.047057539224624634,0.04,0.0303267671776539
0.09,-0.008403383195400238,0.04,-0.007901199888791522,0.12,-0.0016689803451299667,0.04,0.0303267671776539
0.11,-0.0035375431180000305,0.04,-0.007901199888791522,0.07,1.3053417205810547e-05,0.04,0.0303267671776539
0.11,-0.003628857433795929,0.04,-0.007901199888791522,0.09,0.012821115553379059,0.04,0.0303267671776539
0.12,0.031179063022136688,0.04,-0.007901199888791522,0.08,-0.016284089535474777,0.04,0.0303267671776539
0.058,0.00488169863820076,0.04,-0.007901199888791522,0.065,0.08104357123374939,0.04,0.0303267671776539
0.1,0.0068121738731861115,0.04,-0.007901199888791522,0.08,0.023963678628206253,0.04,0.0303267671776539
0.13,-0.03103712573647499,0.04,-0.007901199888791522,0.05,0.05540727078914642,0.04,0.0303267671776539
0.09,-0.017688265070319176,0.04,-0.007901199888791522,0.065,0.052710603922605515,0.04,0.0303267671776539
0.04,-0.028531525284051895,0.04,-0.007901199888791522,0.04,0.055336400866508484,0.04,0.0303267671776539
0.13,0.00823443103581667,0.04,-0.007901199888791522,0.065,0.07879471778869629,0.04,0.0303267671776539
0.12,0.02116023749113083,0.04,-0.007901199888791522,0.065,0.07997594773769379,0.04,0.0303267671776539
0.117,0.02410299703478813,0.04,-0.007901199888791522,0.09,0.01065831445157528,0.04,0.0303267671776539
0.09,-0.0033717602491378784,0.04,-0.007901199888791522,0.1,-0.0025525838136672974,0.04,0.0303267671776539
0.05,0.0032803118228912354,0.04,-0.007901199888791522,0.1,0.010909728705883026,0.04,0.0303267671776539
0.157,-0.009659048169851303,0.04,-0.007901199888791522,0.065,0.07749893516302109,0.04,0.0303267671776539
0.04,-0.024417005479335785,0.04,-0.007901199888791522,0.13,-0.04946357011795044,0.04,0.0303267671776539
0.08,0.005577225238084793,0.04,-0.007901199888791522,0.08,0.013332121074199677,0.04,0.0303267671776539
0.13,0.005239404737949371,0.04,-0.007901199888791522,0.12,-0.014732114970684052,0.04,0.0303267671776539
0.1,0.005902983248233795,0.04,-0.007901199888791522,0.06,-0.005587130784988403,0.04,0.0303267671776539
0.1,0.0016524549573659897,0.04,-0.007901199888791522,0.12,-0.057422935962677,0.045,0.030238006099845016
0.14,0.007588911801576614,0.04,-0.007901199888791522,0.07,-0.012262705713510513,0.05,0.029890184860981384
0.12,0.013750753365457058,0.04,-0.007901199888791522,0.05,0.011726867407560349,0.05,0.029890184860981384
0.11,-0.006880022585391998,0.04,-0.007901199888791522,0.12,-0.013628498651087284,0.05,0.029890184860981384
0.14,0.030268065631389618,0.04,-0.007901199888791522,0.12,-0.07535094022750854,0.05,0.029890184860981384
0.04,-0.0003000367432832718,0.04,-0.007901199888791522,0.07,-0.01994439959526062,0.05,0.029890184860981384
0.12,0.016155466437339783,0.04,-0.007901199888791522,0.11,0.004861414432525635,0.05,0.029890184860981384
0.06,0.06752323359251022,0.04,-0.007901199888791522,0.1,-0.003668431658297777,0.05,0.029890184860981384
0.11,-0.00597454234957695,0.04,-0.007901199888791522,0.12,0.00205363892018795,0.05,0.029890184860981384
0.042,0.03020322322845459,0.04,-0.007901199888791522,0.14,-0.011293925344944,0.05,0.029890184860981384
0.12,0.032064393162727356,0.04,-0.007901199888791522,0.14,0.008625686168670654,0.05,0.029890184860981384
0.12,-0.009162545204162598,0.042,-0.007654482252888921,0.09,0.006964271888136864,0.05,0.029890184860981384
0.08,0.007809888571500778,0.042,-0.007654482252888921,0.065,0.0977592021226883,0.05,0.029890184860981384
0.12,0.01334768533706665,0.042,-0.007654482252888921,0.13,-0.005720996763557196,0.05,0.029890184860981384
0.08,-0.01972050964832306,0.044,-0.007409773402337496,0.14,0.010705605149269104,0.05,0.029890184860981384
0.09,0.003981627523899078,0.045,-0.007288028740951488,0.1,-0.02108772099018097,0.05,0.029890184860981384
0.09,0.009230207651853561,0.045,-0.007288028740951488,0.05,0.038551174104213715,0.05,0.029890184860981384
0.13,0.02043742686510086,0.046,-0.007166607271921125,0.08,0.007564805448055267,0.05,0.029890184860981384
0.13,0.010278657078742981,0.05,-0.006682317552669188,0.09,0.04325106739997864,0.05,0.029890184860981384
0.07,-0.003344654105603695,0.05,-0.006682317552669188,0.02,-0.03636749088764191,0.05,0.029890184860981384
0.13,0.020434826612472534,0.05,-0.006682317552669188,0.09,-0.0024536773562431335,0.05,0.029890184860981384
0.09,-0.003017852082848549,0.05,-0.006682317552669188,0.1,-0.005173251032829285,0.05,0.029890184860981384
0.01,-0.005491070449352264,0.05,-0.006682317552669188,0.09,-0.0030522197484970093,0.05,0.029890184860981384
0.088,-9.98321920633316e-05,0.05,-0.006682317552669188,0.09,0.013231972232460976,0.05,0.029890184860981384
0.12,0.05268099159002304,0.05,-0.006682317552669188,0.04,0.005437374114990234,0.05,0.029890184860981384
0.08,-0.054107915610075,0.05,-0.006682317552669188,0.11,0.01312457025051117,0.05,0.029890184860981384
0.075,-0.008237410336732864,0.05,-0.006682317552669188,0.114,-0.06232539564371109,0.05,0.029890184860981384
0.1,0.0004526004195213318,0.05,-0.006682317552669188,0.14,-0.02848934382200241,0.06,0.028095834924454
0.07,-0.005743630230426788,0.05,-0.006682317552669188,0.13,-0.01610494591295719,0.06,0.028095834924454
0.12,0.018631981685757637,0.05,-0.006682317552669188,0.11,-0.0026467368006706238,0.06,0.028095834924454
0.12,0.011964324861764908,0.05,-0.006682317552669188,0.12,-0.01809593290090561,0.06,0.028095834924454
0.13,-0.004876643419265747,0.05,-0.006682317552669188,0.06,0.0017572194337844849,0.06,0.028095834924454
0.04,-0.008559240028262138,0.05,-0.006682317552669188,0.12,-0.07588967680931091,0.06,0.028095834924454
0.13,0.010772541165351868,0.05,-0.006682317552669188,0.12,-0.054523199796676636,0.06,0.028095834924454
0.12,0.026732996106147766,0.05,-0.006682317552669188,0.12,-0.05595962703227997,0.06,0.028095834924454
0.05,-0.004391930997371674,0.05,-0.006682317552669188,0.065,0.09174329042434692,0.06,0.028095834924454
0.13,0.008098382502794266,0.05,-0.006682317552669188,0.09,0.006292376667261124,0.06,0.028095834924454
0.12,0.02936393767595291,0.05,-0.006682317552669188,0.12,-0.0600593239068985,0.06,0.028095834924454
0.11,-0.012304219417273998,0.05,-0.006682317552669188,0.276,0.027447260916233063,0.06,0.028095834924454
0.06,-0.02253001742064953,0.05,-0.006682317552669188,0.106,-0.007802266627550125,0.06,0.028095834924454
0.09,-0.008483286947011948,0.05,-0.006682317552669188,0.12,-0.07480156421661377,0.06,0.028095834924454
0.1,0.00034148991107940674,0.05,-0.006682317552669188,0.12,-0.05110703408718109,0.06,0.028095834924454
0.1,-0.018747031688690186,0.05,-0.006682317552669188,0.13,-0.03952871263027191,0.06,0.028095834924454
0.15,0.037212859839200974,0.05,-0.006682317552669188,0.05,0.056265391409397125,0.06,0.028095834924454
0.12,0.03569865971803665,0.05,-0.006682317552669188,0.13,-0.019493479281663895,0.06,0.028095834924454
0.06,-0.020792849361896515,0.05,-0.006682317552669188,0.12,-0.11016272008419037,0.06,0.028095834924454
0.08,-0.012761002406477928,0.05,-0.006682317552669188,0.11,-0.007977504283189774,0.06,0.028095834924454
0.11,-0.0052711330354213715,0.053,-0.0063175750025388465,0.08,0.03250629082322121,0.06,0.028095834924454
0.09,-0.0008122175931930542,0.055,-0.0060722865780071175,0.08,0.027531567960977554,0.06,0.028095834924454
0.13,0.01693897694349289,0.058,-0.0056991239445976305,0.09,0.008696399629116058,0.06,0.028095834924454
0.15,0.009837806224822998,0.06,-0.005445380057779183,0.04,0.03446299210190773,0.06,0.028095834924454
0.15,0.030482901260256767,0.06,-0.005445380057779183,0.12,-0.06865957379341125,0.06,0.028095834924454
0.14,0.0091099813580513,0.06,-0.005445380057779183,0.05,0.050340041518211365,0.06,0.028095834924454
