high thermal conductivity (W/mK) and laser power (watt),shap,lowess high thermal conductivity (W/mK) and laser power (watt),lowess shap,low thermal conductivity (W/mK) and laser power (watt),shap,lowess low thermal conductivity (W/mK) and laser power (watt),lowess shap
350.0,0.023191284388303757,40.0,-0.05723862088635619,275.0,-0.0051396191120147705,40.0,0.021031326300149183
200.0,0.009557155892252922,40.0,-0.05723862088635619,275.0,-0.03045579046010971,40.0,0.021031326300149183
475.0,0.060875482857227325,50.0,-0.05422106466697496,350.0,-0.011507261544466019,40.0,0.021031326300149183
200.0,0.020283391699194908,50.0,-0.05422106466697496,250.0,0.004047658294439316,40.0,0.021031326300149183
250.0,0.04260224848985672,50.0,-0.05422106466697496,200.0,0.005205412395298481,40.0,0.021031326300149183
200.0,-0.018755540251731873,50.0,-0.05422106466697496,225.0,0.012076586484909058,40.0,0.021031326300149183
225.0,0.006469540297985077,50.0,-0.05422106466697496,95.0,0.0865032896399498,40.0,0.021031326300149183
250.0,0.004815690219402313,60.0,-0.05112019541305402,200.0,0.011837226338684559,40.0,0.021031326300149183
300.0,0.04120241850614548,60.0,-0.05112019541305402,370.0,-0.025319097563624382,40.0,0.021031326300149183
150.0,-0.07334093004465103,60.0,-0.05112019541305402,370.0,-0.00737373111769557,49.86,0.02110141942107167
230.0,0.03512026369571686,60.9,-0.050837182886877455,200.0,-0.0005760155618190765,50.0,0.02110242458548824
200.0,0.00021526217460632324,70.0,-0.04794324676857543,95.0,0.04679358750581741,50.0,0.02110242458548824
250.0,0.010226354002952576,70.0,-0.04794324676857543,250.0,-0.010836528614163399,50.0,0.02110242458548824
175.0,-0.014267317950725555,70.0,-0.04794324676857543,100.0,-0.012442747130990028,50.0,0.02110242458548824
250.0,0.01476994901895523,70.0,-0.04794324676857543,350.0,-0.00665317801758647,50.0,0.02110242458548824
150.0,-0.06558175384998322,70.0,-0.04794324676857543,180.0,0.03898891434073448,50.0,0.02110242458548824
90.0,-0.033166274428367615,70.0,-0.04794324676857543,200.0,0.009139908477663994,50.0,0.02110242458548824
250.0,-0.0016572847962379456,75.0,-0.04633150917514972,200.0,-0.012315381318330765,50.0,0.02110242458548824
350.0,0.04930103197693825,75.0,-0.04633150917514972,185.0,0.0184948593378067,50.0,0.02110242458548824
480.0,0.06284525245428085,80.0,-0.04470767906937591,200.0,0.012747984379529953,50.0,0.02110242458548824
300.0,-0.0019427835941314697,85.0,-0.04307476327678374,350.0,-0.0033426694571971893,50.0,0.02110242458548824
465.0,0.05927035212516785,85.0,-0.04307476327678374,160.0,0.04633732885122299,50.0,0.02110242458548824
300.0,0.01790088601410389,89.1,-0.041731417690929334,175.0,0.018236681818962097,50.0,0.02110242458548824
495.0,0.03143130987882614,90.0,-0.04143625526709417,200.0,7.110461592674255e-05,50.0,0.02110242458548824
275.0,0.020058929920196533,90.0,-0.04143625526709417,160.0,0.006779137998819351,50.0,0.02110242458548824
350.0,0.02328040823340416,90.0,-0.04143625526709417,150.0,-0.012884481810033321,50.0,0.02110242458548824
250.0,0.006119083613157272,100.0,-0.038160720001308594,180.0,0.016111966222524643,60.0,0.021171756151817694
200.0,0.0069328248500823975,100.0,-0.038160720001308594,200.0,0.01149585098028183,60.0,0.021171756151817694
350.0,-0.02258475124835968,100.0,-0.038160720001308594,187.5,0.0030701272189617157,66.48,0.021214218289972265
300.0,0.010417766869068146,100.0,-0.038160720001308594,175.0,0.0006110165268182755,70.0,0.021236779622261094
270.0,0.003997817635536194,100.0,-0.038160720001308594,200.0,0.00013103801757097244,70.0,0.021236779622261094
210.0,0.0011167600750923157,100.0,-0.038160720001308594,155.0,0.01258175354450941,73.0,0.021255945145489882
200.0,-0.007831007242202759,100.0,-0.038160720001308594,195.0,0.01152653619647026,75.0,0.021268826771944808
150.0,-0.0682302862405777,100.0,-0.038160720001308594,350.0,0.003824681043624878,75.0,0.021268826771944808
200.0,-0.01778070628643036,100.0,-0.038160720001308594,200.0,0.00620809942483902,75.0,0.021268826771944808
