high scan speed (mm/s) and laser power (watt),shap,lowess high scan speed (mm/s) and laser power (watt),lowess shap,medium scan speed (mm/s) and laser power (watt),shap,lowess medium scan speed (mm/s) and laser power (watt),lowess shap,low scan speed (mm/s) and laser power (watt),shap,lowess low scan speed (mm/s) and laser power (watt),lowess shap
350.0,0.038354821503162384,40.0,-0.09970641169077334,250.0,-7.968023419380188e-05,40.0,-0.004290798027546689,275.0,-0.04182080924510956,40.0,0.09225755447501477
275.0,0.049780361354351044,40.0,-0.09970641169077334,95.0,-0.026076041162014008,40.0,-0.004290798027546689,475.0,-0.04615265130996704,40.0,0.09225755447501477
200.0,0.02447805553674698,40.0,-0.09970641169077334,180.0,0.013458207249641418,40.0,-0.004290798027546689,200.0,0.02054608054459095,40.0,0.09225755447501477
350.0,0.058195795863866806,50.0,-0.09335666739967194,225.0,-0.0007750270888209343,40.0,-0.004290798027546689,200.0,0.04235758259892464,40.0,0.09225755447501477
225.0,0.04526213929057121,50.0,-0.09335666739967194,185.0,0.014401379972696304,50.0,-0.003099422247494916,200.0,-0.027585402131080627,49.86,0.08742935033356104
200.0,0.022345999255776405,50.0,-0.09335666739967194,160.0,0.06315839290618896,50.0,-0.003099422247494916,95.0,0.08664123713970184,50.0,0.08736048411921643
370.0,0.04255601391196251,50.0,-0.09335666739967194,200.0,0.008173967711627483,50.0,-0.003099422247494916,100.0,0.006556207314133644,50.0,0.08736048411921643
370.0,0.05975515395402908,50.0,-0.09335666739967194,160.0,-0.012578349560499191,50.0,-0.003099422247494916,200.0,0.00301167368888855,50.0,0.08736048411921643
250.0,0.034095488488674164,50.0,-0.09335666739967194,175.0,-2.917274832725525e-05,60.0,-0.001928022744179014,175.0,0.03863763064146042,50.0,0.08736048411921643
250.0,0.021266359835863113,70.0,-0.08049725569299465,350.0,0.005186103284358978,60.0,-0.001928022744179014,150.0,0.05224289000034332,50.0,0.08736048411921643
350.0,0.03041994944214821,70.0,-0.08049725569299465,200.0,-0.006241908296942711,60.0,-0.001928022744179014,180.0,0.07317127287387848,50.0,0.08736048411921643
200.0,0.01921255700290203,70.0,-0.08049725569299465,100.0,0.0629764199256897,60.0,-0.001928022744179014,200.0,0.042264096438884735,50.0,0.08736048411921643
200.0,-0.010081198997795582,75.0,-0.07725069618664036,200.0,0.013208527117967606,70.0,-0.0007720346921172042,187.5,0.060611505061388016,50.0,0.08736048411921643
200.0,0.06163765862584114,75.0,-0.07725069618664036,285.0,0.0008286461234092712,70.0,-0.0007720346921172042,250.0,-0.035635173320770264,50.0,0.08736048411921643
350.0,0.06801364570856094,80.0,-0.07399318082960699,225.0,-0.014872666448354721,70.0,-0.0007720346921172042,200.0,-0.005979016423225403,50.0,0.08736048411921643
155.0,-0.02966700680553913,80.0,-0.07399318082960699,200.0,-0.00825079157948494,70.0,-0.0007720346921172042,200.0,0.02068738453090191,50.0,0.08736048411921643
195.0,0.016063794493675232,80.0,-0.07399318082960699,240.0,0.020110875368118286,75.0,-0.00019786946372636074,200.0,-0.02009836584329605,60.0,0.08241949469356902
