high density(g/cm3) and scan speed (mm/s),shap,lowess high density(g/cm3) and scan speed (mm/s),lowess shap,low density(g/cm3) and scan speed (mm/s),shap,lowess low density(g/cm3) and scan speed (mm/s),lowess shap
1800.0,0.01066693663597107,50.0,-0.007369627370713067,2000.0,-0.02210848405957222,8.333333333,0.026985583767543116
1680.0,-0.003974255174398422,50.0,-0.007369627370713067,349.0,-0.022739216685295105,10.0,0.02687458851327262
700.0,0.014418937265872955,50.0,-0.007369627370713067,1300.0,0.030935930088162422,11.66666667,0.02676365225672974
400.0,0.0075200144201517105,50.0,-0.007369627370713067,333.3333333,0.02138201706111431,80.0,0.0222718612248012
1940.0,0.01668614149093628,80.0,-0.006023475209147782,950.0,0.010531041771173477,80.0,0.0222718612248012
1300.0,-0.010258182883262634,80.0,-0.006023475209147782,1500.0,0.0008768551051616669,100.0,0.020981040616657617
2202.380952,0.0026330500841140747,80.0,-0.006023475209147782,500.0,-0.012527495622634888,100.0,0.020981040616657617
286.89,-0.030096279457211494,100.0,-0.0051402132786299,2000.0,0.011384733021259308,100.0,0.020981040616657617
400.0,0.014875434339046478,100.0,-0.0051402132786299,1602.936678,-0.004766937345266342,100.0,0.020981040616657617
476.1904762,-0.00954342819750309,100.0,-0.0051402132786299,600.0,-0.015511475503444672,100.0,0.020981040616657617
1680.0,0.0019232130143791437,100.0,-0.0051402132786299,1000.0,-0.012182804755866528,100.0,0.020981040616657617
350.0,0.01673787832260132,100.0,-0.0051402132786299,600.0,-0.0129159577190876,100.0,0.020981040616657617
900.0,0.008427154272794724,100.0,-0.0051402132786299,666.6666667,-0.01817905530333519,100.0,0.020981040616657617
1200.0,-0.004606002941727638,100.0,-0.0051402132786299,400.0,-0.020534656941890717,100.0,0.020981040616657617
870.0,-0.0008460395038127899,100.0,-0.0051402132786299,294.12,0.02278437651693821,110.53303,0.020306215692367128
1400.0,0.00664709135890007,100.0,-0.0051402132786299,455.0,-0.014037564396858215,111.070366,0.020271886286247376
1680.0,-0.001422882080078125,100.0,-0.0051402132786299,833.3333333,-0.023386800661683083,119.05,0.019763214090034967
80.0,-0.016203809529542923,100.0,-0.0051402132786299,1200.0,0.024963239207863808,120.0,0.019702798406283865
800.0,-0.006505605764687061,100.0,-0.0051402132786299,603.646331,-0.000548582524061203,121.95,0.019578884352161697
347.802802,0.005115378648042679,100.0,-0.0051402132786299,1200.0,0.01770334132015705,125.0,0.01938533417003254
300.0,0.009145334362983704,100.0,-0.0051402132786299,166.6666667,0.01104249432682991,125.0,0.01938533417003254
900.0,0.0006448663771152496,100.0,-0.0051402132786299,2000.0,0.00026066694408655167,125.0,0.01938533417003254
343.14,-0.014719816856086254,100.0,-0.0051402132786299,200.0,0.0171426460146904,125.295685,0.019366587537525466
1200.0,-0.014024799689650536,111.0,-0.004659753015353054,208.33,0.02586861327290535,125.77855,0.019335980160431504
1100.0,0.002455722540616989,120.0,-0.004269622286887633,1000.0,0.009456256404519081,131.58,0.018968888996686632
800.0,0.0006213001906871796,145.0,-0.0032007624046866837,1500.0,-0.009793015196919441,138.89,0.01850807190077389
486.11,0.010913003236055374,145.0,-0.0032007624046866837,833.3333333,-0.024968234822154045,142.73251,0.01826663345597403
1000.0,0.016470767557621002,145.0,-0.0032007624046866837,500.0,-0.02084488421678543,142.86,0.01825863228594121
1368.0,-0.00466524064540863,150.0,-0.002989730886249801,454.55,0.010410163551568985,143.03625,0.018247571985110088
1200.0,-0.029921352863311768,150.0,-0.002989730886249801,200.0,0.025549259036779404,143.37152,0.018226535856567812
600.0,0.013254621997475624,150.0,-0.002989730886249801,1500.0,0.011820346117019653,144.0,0.018187114032507484
500.0,-0.026733046397566795,165.09,-0.0023586923245006645,250.0,0.022652890533208847,147.06,0.01799538753080431
1600.0,0.0042614080011844635,169.08,-0.002193352596339282,100.0,0.025369752198457718,147.06,0.01799538753080431
739.5,0.010989286005496979,173.27,-0.002020426873011589,1500.0,-0.0017093908973038197,150.0,0.017811516959723887
250.0,0.006992724724113941,173.4650127,-0.0020123961664253154,1000.0,0.008326992392539978,151.52,0.017716585395861885
700.0,-0.015306010842323303,175.0,-0.0019492399642150955,1200.0,0.008170564658939838,156.25,0.01742174960482617
2880.0,0.004887506365776062,175.0,-0.0019492399642150955,156.25,0.026999227702617645,160.0,0.017188627019496944
3209.48,-0.029622619971632957,177.66,-0.0018400287787912364,600.0,-0.016635432839393616,160.0,0.017188627019496944
800.0,0.009578153491020203,187.17,-0.0014520228704987708,300.0,-0.017795167863368988,160.0,0.017188627019496944
2600.0,0.0002462631091475487,192.31,-0.0012439244096155578,1210.996506,0.03556109964847565,160.4,0.017163793640853874
