reflectivity (%),thermal conductivity (W/mK),specific heat capacity (J/gK),density(g/cm3),melting point (C),laser power (watt),scan speed (mm/s),layer thickness (mm),hatch spacing (mm),energy density (J/mm3),relative density (%)
66.0094,15.8,0.43,8.05,1364,200,1000,0.04,0.12,41.67,99.49
66.0094,15.8,0.43,8.05,1364,200,900,0.03,0.36,20.58,87.45
66.0094,15.8,0.43,8.05,1364,200,800,0.05,0.24,20.83,89.96
66.0094,15.8,0.43,8.05,1364,175,1000,0.03,0.24,24.31,89.52
66.0094,15.8,0.43,8.05,1364,175,900,0.05,0.12,32.41,98.52
66.0094,15.8,0.43,8.05,1364,175,800,0.04,0.36,15.19,79.52
66.0094,15.8,0.43,8.05,1364,150,1000,0.05,0.36,8.33,61.34
66.0094,15.8,0.43,8.05,1364,150,900,0.04,0.24,17.36,81.00
66.0094,15.8,0.43,8.05,1364,150,800,0.03,0.12,52.08,99.81
65.3334,21.4,0.5,8,1375,200,402.3,0.04,0.12,103.57,98.58
65.3334,21.4,0.5,8,1375,200,161.29,0.1,0.12,103.33,93.49
65.3334,21.4,0.5,8,1375,200,203.49,0.08,0.12,102.38,94.24
65.3334,21.4,0.5,8,1375,200,165.09,0.1,0.12,100.96,92.95
65.3334,21.4,0.5,8,1375,200,275.59,0.06,0.12,100.79,95.52
65.3334,21.4,0.5,8,1375,200,209.58,0.08,0.12,99.41,93.96
65.3334,21.4,0.5,8,1375,200,169.08,0.1,0.12,98.57,94.04
65.3334,21.4,0.5,8,1375,200,426.83,0.04,0.12,97.62,98.51
65.3334,21.4,0.5,8,1375,200,286.89,0.06,0.12,96.82,95.65
65.3334,21.4,0.5,8,1375,200,216.05,0.08,0.12,96.43,94.40
65.3334,21.4,0.5,8,1375,200,173.27,0.1,0.12,96.19,93.85
65.3334,21.4,0.5,8,1375,200,177.66,0.1,0.12,93.81,93.72
65.3334,21.4,0.5,8,1375,200,222.93,0.08,0.12,93.45,94.09
65.3334,21.4,0.5,8,1375,200,299.15,0.06,0.12,92.86,95.82
65.3334,21.4,0.5,8,1375,200,454.55,0.04,0.12,91.67,98.81
65.3334,21.4,0.5,8,1375,200,182.29,0.1,0.12,91.43,93.72
65.3334,21.4,0.5,8,1375,200,230.26,0.08,0.12,90.48,94.70
65.3334,21.4,0.5,8,1375,200,187.17,0.1,0.12,89.05,93.86
65.3334,21.4,0.5,8,1375,200,312.5,0.06,0.12,88.89,96.40
65.3334,21.4,0.5,8,1375,200,238.1,0.08,0.12,87.50,94.69
65.3334,21.4,0.5,8,1375,200,192.31,0.1,0.12,86.67,94.18
65.3334,21.4,0.5,8,1375,200,486.11,0.04,0.12,85.71,98.67
65.3334,21.4,0.5,8,1375,200,327.1,0.06,0.12,84.92,96.58
65.3334,21.4,0.5,8,1375,200,246.48,0.08,0.12,84.52,94.40
65.3334,21.4,0.5,8,1375,200,197.74,0.1,0.12,84.29,93.58
65.3334,21.4,0.5,8,1375,200,203.49,0.1,0.12,81.90,94.08
65.3334,21.4,0.5,8,1375,200,255.47,0.08,0.12,81.55,94.51
65.3334,21.4,0.5,8,1375,200,343.14,0.06,0.12,80.95,96.65
65.3334,21.4,0.5,8,1375,200,522.39,0.04,0.12,79.76,98.90
65.3334,21.4,0.5,8,1375,200,209.58,0.1,0.12,79.52,93.78
65.3334,21.4,0.5,8,1375,200,265.15,0.08,0.12,78.57,94.49
65.3334,21.4,0.5,8,1375,200,216.05,0.1,0.12,77.14,93.07
65.3334,21.4,0.5,8,1375,200,360.82,0.06,0.12,76.99,97.12
65.3334,21.4,0.5,8,1375,200,275.59,0.08,0.12,75.60,95.10
65.3334,21.4,0.5,8,1375,200,222.93,0.1,0.12,74.76,93.16
65.3334,21.4,0.5,8,1375,200,564.52,0.04,0.12,73.81,98.83
65.3334,21.4,0.5,8,1375,200,380.43,0.06,0.12,73.02,97.34
65.3334,21.4,0.5,8,1375,200,286.89,0.08,0.12,72.62,95.00
65.3334,21.4,0.5,8,1375,200,230.26,0.1,0.12,72.38,93.78
65.3334,21.4,0.5,8,1375,200,238.1,0.1,0.12,70.00,93.78
65.3334,21.4,0.5,8,1375,200,299.15,0.08,0.12,69.64,95.39
65.3334,21.4,0.5,8,1375,200,402.3,0.06,0.12,69.05,97.70
65.3334,21.4,0.5,8,1375,200,614.04,0.04,0.12,67.86,98.82
65.3334,21.4,0.5,8,1375,200,246.48,0.1,0.12,67.62,94.01
65.3334,21.4,0.5,8,1375,200,312.5,0.08,0.12,66.67,95.27
65.3334,21.4,0.5,8,1375,200,255.47,0.1,0.12,65.24,93.67
65.3334,21.4,0.5,8,1375,200,426.83,0.06,0.12,65.08,97.84
65.3334,21.4,0.5,8,1375,200,327.1,0.08,0.12,63.69,95.70
65.3334,21.4,0.5,8,1375,200,265.15,0.1,0.12,62.86,94.01
65.3334,21.4,0.5,8,1375,200,673.08,0.04,0.12,61.90,98.84
65.3334,21.4,0.5,8,1375,200,454.55,0.06,0.12,61.11,98.17
65.3334,21.4,0.5,8,1375,200,343.14,0.08,0.12,60.71,96.51
65.3334,21.4,0.5,8,1375,200,275.59,0.1,0.12,60.48,94.13
65.3334,21.4,0.5,8,1375,200,286.89,0.1,0.12,58.09,94.07
65.3334,21.4,0.5,8,1375,200,360.82,0.08,0.12,57.74,96.62
65.3334,21.4,0.5,8,1375,200,486.11,0.06,0.12,57.14,98.46
65.3334,21.4,0.5,8,1375,200,744.68,0.04,0.12,55.95,98.30
65.3334,21.4,0.5,8,1375,200,299.15,0.1,0.12,55.71,93.89
65.3334,21.4,0.5,8,1375,200,380.43,0.08,0.12,54.76,97.10
